,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail, UpperBound, LowerBound, BasePeriod, Source,FootNote,Nature,Units,[Age],[Cities],[Disability status],[Education level],[IHR Capacity],[Level/Status],[Location],[Migratory status],[Mode of transportation],[Name of international institution],[Name of non-communicable disease],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product],[Type of skill],[Type of speed]
929873,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1974,90.00,1974,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
929874,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1978,91.46,1978,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
929875,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1979,87.06,1979,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
929876,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1981,86.50,1981,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
929877,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1983,83.33,1983,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
929878,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1985,81.82,1985,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
929879,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1987,75.39,1987,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
929880,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1989,73.16,1989,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
929881,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1990,81.38,1990,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
929882,14,14.4,14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),1,World,1992,75.23,1992,,,,FAO. 2012. The State of World Fisheries and Aquaculture 2016 - Contributing to food security and nutrition for all. Rome. (http://www.fao.org/3/a-i5555e.pdf). Values were produced according to the methodology cited in FAO. 2011a. Review of the state of world marine fishery resources. FAO Fisheries and Aquaculture Technical Paper No. 569. Rome. (http://www.fao.org/docrep/015/i2389e/i2389e.pdf).,,G,PERCENT,,,,,,,,,,,,,,G,,,,,
